Column,Description
"Number of Specialist Physicians, Non-Federal","This attribute represents the number of non-federal, primary care physicians."
"Latitude","This attribute represents the primary latitude in decimal degrees (y coordinate) of an entity based on its address."
"Number of OB-GYN Physicians, Non-Federal","This attribute represents the number of non-federal obstetrics and gynecology physicians."
"Number of Primary Care Physician Assistants","This attribute represents the number of primary care physician assistants."
"Number of GP/IM/Pediatric Physician Assistants","This attribute represents the number of internal medicine, general practice, and pediatric physician assistants."
"Number of OB/GYN Physician Assistants","This attribute represents the number of obstetrics and gynecology physician assistants."
"Number of Physician Assistants with Specialty as Geriatrics or Unknown","This attribute represents the number of physician assistants with the specialty of geriatrics."
"Number of Dentists, Non-Federal, Full-Time Practice","This attribute represents the number of dentists in a non-federal, full-time practice."
"Number of Dentists, Non-Federal, Part-Time Practice","This attribute represents the number of dentists in a non-federal, part-time practice."
"Primary Care FTE Physicians for MUA or HPSA Purposes","This attribute represents the full time equivalent primary care physicians for the purposes of deciding whether or not a geographic area, population group or facility is a Health Professional Shortage Area (HPSA) or a Medically Underserved Area or Population (MUA/P)."
"Crude Rate: Primary Care Physicians, Clinically Active","This attribute represents the clinically active primary care physicians per 100,000 census population crude rate."
"Population Per Clinically Active Primary Care Physician","This attribute represents the population per clinically active primary care physician (a rate)."
"Number of Federally Qualified Health Center Look Alikes Located in PCSA","This attribute represents the total number of HRSA federally qualified health center look-alike (FQHC LAL) service delivery sites located in each Primary Care Service Area (PCSA)."
"Number of Federally Qualified Health Centers Located in PCSA","This attribute represents the total number of HRSA federally qualified health center (FQHC) service delivery sites located in each Primary Care Service Area (PCSA)."
"Number of Tribal Run Sites Located in PCSA","This attribute represents the total number of tribal run sites located in each Primary Care Service Area (PCSA) using HRSA Health Professional Shortage Area (HPSA) Native American designated facility data."
"Number of Indian Health Service Sites Located in PCSA","This attribute represents the total number of Indian Health Service (IHS) sites located in each Primary Care Service Area (PCSA) using HRSA Health Professional Shortage Area (HPSA) IHS facility data."
"Number of Rural Health Clinics Located in PCSA","This attribute represents the total number of rural health clinic (RHC) sites located in each Primary Care Service Area (PCSA) using the provider of service data from the Centers for Medicare & Medicaid Services (CMS) as processed by the HRSA Data Warehouse."
